Date,Open,High,Low,Close,Adj Close,Volume
2012-08-06,88.184288,89.267143,87.894287,88.935715,77.910294,75525800
2012-08-03,87.66143000000001,88.28286,87.36571500000001,87.957146,77.05301700000001,86230200
2012-08-02,86.120003,87.24143199999999,85.75,86.827141,76.063103,83039600
2012-08-01,87.987144,88.057144,86.14286,86.687141,75.94046,96125400
2012-07-31,86.175713,87.385712,86.102859,87.251427,76.434792,115581900
2012-07-30,84.41714499999999,85.63428499999999,83.974289,85.004288,74.46623199999999,94785600
2012-07-27,82.144287,83.690002,81.655716,83.594284,73.231026,100984100
2012-07-26,82.822861,82.914284,81.480003,82.12571700000001,71.944519,101658200
2012-07-25,82.065712,82.971428,81.428574,82.138573,71.955772,219328200
2012-07-24,86.76857,87.097145,85.501427,85.845711,75.203339,141283100
2012-07-23,84.914284,86.557144,83.958572,86.261429,75.56752,121993900
2012-07-20,87.575714,87.77714499999999,86.242859,86.328575,75.626335,99367800
2012-07-19,87.325714,87.907143,86.571426,87.760002,76.880302,109215400
2012-07-18,86.655716,86.905716,86.22285500000001,86.608574,75.87162,63175000
2012-07-17,87.255714,87.35714,86.164284,86.705711,75.956703,73406200
2012-07-16,86.445717,87.37428299999999,86.431427,86.701431,75.952972,75315100
2012-07-13,86.135712,86.74143199999999,85.714287,86.424286,75.71018199999999,77856800
2012-07-12,85.748573,86.209999,84.668571,85.557144,74.950546,107010400
2012-07-11,86.58856999999999,86.808571,85.317146,86.347145,75.642616,117330500
2012-07-10,88.281425,88.552856,86.47285500000001,86.887146,76.115669,127989400
2012-07-09,86.471428,87.699997,86.30143000000001,87.69856999999999,76.8265,94851400
2012-07-06,86.727142,86.91999799999999,85.940002,86.554283,75.824074,104732600
2012-07-05,85.794289,87.762856,85.664284,87.13428499999999,76.332169,121095800
2012-07-03,84.982857,85.714287,84.85714,85.629997,75.014359,60428200
2012-07-02,83.53286,84.781425,83.371429,84.645714,74.152107,100023000
2012-06-29,82.571426,83.428574,82.035713,83.428574,73.08584599999999,105375200
2012-06-28,81.66714499999999,82.0,80.80143000000001,81.292854,71.21488199999999,70709100
2012-06-27,82.14286,82.391426,81.70285799999999,82.071426,71.89696500000001,50749300
2012-06-26,81.61856800000001,82.07,81.04714200000001,81.718575,71.587852,69134100
2012-06-25,82.471428,82.828575,81.48143,81.538574,71.43016800000001,76095600
2012-06-22,82.720001,83.16999799999999,82.20285799999999,83.157143,72.848076,71117900
2012-06-21,83.63428499999999,84.031425,82.49143199999999,82.524284,72.293678,81587800
2012-06-20,84.029999,84.178574,82.971428,83.677139,73.303612,89735800
2012-06-19,83.342857,84.285713,83.300003,83.915718,73.512619,90351100
2012-06-18,81.565712,83.98428299999999,81.48143,83.682854,73.30860899999999,110103000
2012-06-15,81.571426,82.08856999999999,81.364288,82.01857,71.850639,83813800
2012-06-14,81.605713,81.928574,81.03714000000001,81.647141,71.525276,86393300
2012-06-13,82.074287,82.639999,81.482857,81.737144,71.604118,73395000
2012-06-12,82.065712,82.37428299999999,80.957146,82.308571,72.10470600000001,108845100
2012-06-11,83.959999,84.071426,81.51857,81.595711,71.480225,147816200
2012-06-08,81.657143,82.940002,81.285713,82.902855,72.625298,86879100
2012-06-07,82.470001,82.474289,81.5,81.674286,71.549049,94941700
2012-06-06,81.110001,81.978569,80.785713,81.637146,71.51649499999999,100363900
2012-06-05,80.181427,80.924286,79.761429,80.404289,70.436493,97053600
2012-06-04,80.214287,81.071426,78.35714,80.612854,70.619179,139248900
2012-06-01,81.308571,81.807144,80.074287,80.141426,70.206215,130246900
2012-05-31,82.96285999999999,83.071426,81.637146,82.53286,72.30117800000001,122918600
2012-05-30,81.314285,82.855713,80.937141,82.738571,72.481392,132357400
2012-05-29,81.557144,82.0,80.75856800000001,81.752853,71.617897,95127200
2012-05-25,80.655716,80.835716,79.781425,80.327141,70.368912,82126800
2012-05-24,82.267143,82.35714,80.175713,80.760002,70.748108,124057500
2012-05-23,79.64286,81.828575,79.03286,81.50856800000001,71.403862,146224400
2012-05-22,81.364288,81.982857,78.940002,79.567146,69.703125,173717600
2012-05-21,76.35714,80.220001,76.292854,80.182854,70.242508,157776500
2012-05-18,76.279999,77.629997,74.597145,75.76857,66.375458,183073100
2012-05-17,77.90142800000001,78.214287,75.73143,75.73143,66.342926,179305000
2012-05-16,79.150002,79.555717,77.291428,78.011429,68.34027900000001,140224000
2012-05-15,80.207146,80.459999,78.821426,79.024284,69.22757,119084000
2012-05-14,80.367142,81.072861,79.657143,79.745712,69.85955,88156600
2012-05-11,80.714287,82.067146,80.621429,80.958572,70.922066,99886500
2012-05-10,82.08285500000001,82.26857,81.205711,81.502853,71.39888,83300000
2012-05-09,80.528572,81.997147,80.121429,81.311432,71.231186,120176000
2012-05-08,81.36856800000001,81.64286,79.818573,81.168571,71.106033,124313000
2012-05-07,80.214287,81.824287,80.175713,81.354286,71.268723,115029600
2012-05-04,82.440002,82.622856,80.738571,80.75,70.739319,132498100
2012-05-03,84.35714,84.485718,82.900002,83.117142,72.813034,97637400
2012-05-02,82.891426,83.914284,82.694283,83.711426,73.333649,106847300
2012-05-01,83.557144,85.251427,83.03286,83.16143000000001,72.85183,152749800
2012-04-30,85.400002,85.485718,83.285713,83.425713,73.083359,126536200
2012-04-27,86.438568,86.597145,85.785713,86.14286,75.463638,101680600
2012-04-26,87.752853,87.812859,86.01857,86.814285,76.051834,134017100
2012-04-25,87.94856999999999,88.285713,86.571426,87.14286,76.33968399999999,226444400
2012-04-24,80.372856,81.09857199999999,79.285713,80.040001,70.117378,269037300
